,都道府県コード又は市区町村コード,都道府県名,市区町村名,名称,名称_カナ,住所,方書,設置位置,備考（設置台数）,経度,緯度
140,32018,岩手県,盛岡市,渋民中学校,シブタミチュウガッコウ,岩手県盛岡市下田字下田106,,,1,141.1639811,39.85026519
141,32018,岩手県,盛岡市,巻堀中学校,マキホリチュウガッコウ,岩手県盛岡市好摩字夏間木70-1,,,1,141.1681541,39.87526312
142,32018,岩手県,盛岡市,盛岡市立高校,モリオカシリツコウコウ,岩手県盛岡市上太田上川原96,,,2,141.086833,39.6991055
143,32018,岩手県,盛岡市,米内浄水場,ヨナイジョウスイジョウ,岩手県盛岡市上米内字中居49,,,1,141.2017104,39.74472652
144,32018,岩手県,盛岡市,中屋敷浄水場,ナカヤシキジョウスイジョウ,岩手県盛岡市中屋敷町9-35,,,1,141.11716,39.70877599
145,32018,岩手県,盛岡市,沢田浄水場,サワダジョウスイジョウ,岩手県盛岡市東中野字沢田7,,,1,141.1770658,39.68414052
146,32018,岩手県,盛岡市,新庄浄水場,シンジョウジョウスイジョウ,岩手県盛岡市加賀野字桜山86,,,1,141.1731943,39.70698962
147,32018,岩手県,盛岡市,下水道施設管理課,ゲスイドウシセツカンリカ,岩手県盛岡市東安庭2-8-3,,,1,141.1646905,39.67701117
148,32018,岩手県,盛岡市,夕顔瀬地区コミュニティ消防センター,ユウガオセチクコミュニティショウボウセンター,岩手県盛岡市夕顔瀬町1-41,,,1,141.1337235,39.7074887
149,32018,岩手県,盛岡市,杜陵地区コミュニティ消防センター,トリョウチクコミュニティショウボウセンター,岩手県盛岡市肴町9-31,,,1,141.1529848,39.69725283
150,32018,岩手県,盛岡市,盛岡市立つなぎ多目的運動場,モリオカシリツツナギタモクテキウンドウジョウ,岩手県盛岡市繋字除ｷ32-2,,,1,141.0014024,39.66786041
151,32018,岩手県,盛岡市,盛岡市立つなぎスポーツ研修センター,モリオカシリツツナギスポーツケンシュウセンター,岩手県盛岡市繋字舘市69-2,,,1,141.0209549,39.67365038
152,32018,岩手県,盛岡市,みちのくコカ・コーラボトリングリンク（盛岡市アイスリンク）,ミチノクコカ・コーラボトリングリンク（モリオカシアイスリンク）,岩手県盛岡市本宮5-3-3,,,1,141.1221008,39.69144462
153,32018,岩手県,盛岡市,松園テニスコート,マツゾノテニスコート,岩手県盛岡市西松園3-19-4,,,1,141.1610356,39.75672512
154,32018,岩手県,盛岡市,石川啄木記念館,イシカワタクボクキネンカン,岩手県盛岡市渋民字渋民9,,,1,141.1712612,39.84604782
155,32018,岩手県,盛岡市,見前南地区公民館,ミルマエミナミチクコウミンカン,岩手県盛岡市西見前13-50,,,1,141.1637522,39.64128699
156,32018,岩手県,盛岡市,盛岡市リサイクルセンター,モリオカシリサイクルセンター,岩手県盛岡市川又字大日向32-5,,,1,141.2061053,39.77305563
157,32018,岩手県,盛岡市,青山地区活動センター体育館,アオヤマチクカツドウセンタータイイクカン,岩手県盛岡市月が丘1-26-1,,,1,141.1131437,39.73203074
158,32018,岩手県,盛岡市,緑が丘地区活動センター,ミドリガオカチクカツドウセンター,岩手県盛岡市黒石野2-14-1,,,1,141.1458211,39.74236099
